key,D,t,w,A(0.0),Z(0.0),I(0.0),A(1.0),Z(1.0),I(1.0)
〇-318.5x6.9,318.5,6.9,53,6.75E-03,5.15E-04,8.20E-05,5.76E-03,4.39E-04,6.95E-05
〇-318.5x10.3,318.5,10.3,78.3,9.97E-03,7.44E-04,1.19E-04,8.98E-03,6.70E-04,1.06E-04
〇-400x6,400,6,58.3,7.43E-03,7.21E-04,1.44E-04,6.17E-03,5.99E-04,1.19E-04
〇-400x9,400,9,86.8,1.11E-02,1.06E-03,2.11E-04,9.80E-03,9.37E-04,1.86E-04
〇-400x12,400,12,115,1.46E-02,1.38E-03,2.76E-04,1.34E-02,1.26E-03,2.51E-04
〇-400x14,400,14,133,1.70E-02,1.58E-03,3.17E-04,1.57E-02,1.47E-03,2.92E-04
〇-406.4x6,406.4,6,59.2,7.55E-03,7.45E-04,1.51E-04,6.27E-03,6.19E-04,1.25E-04
〇-406.4x9,406.4,9,88.2,1.12E-02,1.09E-03,2.22E-04,9.96E-03,9.68E-04,1.96E-04
〇-406.4x12,406.4,12,117,1.49E-02,1.42E-03,2.89E-04,1.36E-02,1.30E-03,2.63E-04
〇-406.4x14,406.4,14,135,1.73E-02,1.64E-03,3.33E-04,1.60E-02,1.52E-03,3.06E-04
〇-500x6,500,6,73.1,9.31E-03,1.14E-03,2.84E-04,7.74E-03,9.45E-04,2.35E-04
〇-500x9,500,9,109,1.39E-02,1.67E-03,4.18E-04,1.23E-02,1.48E-03,3.70E-04
〇-500x12,500,12,144,1.84E-02,2.19E-03,5.48E-04,1.68E-02,2.00E-03,4.99E-04
〇-500x14,500,14,168,2.14E-02,2.53E-03,6.32E-04,1.98E-02,2.34E-03,5.83E-04
〇-508x6,508,6,74.3,9.46E-03,1.17E-03,2.98E-04,7.87E-03,9.76E-04,2.47E-04
〇-508x9,508,9,111,1.41E-02,1.73E-03,4.39E-04,1.25E-02,1.53E-03,3.88E-04
〇-508x12,508,12,147,1.87E-02,2.27E-03,5.75E-04,1.71E-02,2.07E-03,5.24E-04
〇-508x14,508,14,171,2.17E-02,2.61E-03,6.63E-04,2.01E-02,2.42E-03,6.12E-04
〇-600x6,600,6,87.9,1.12E-02,1.65E-03,4.94E-04,9.31E-03,1.37E-03,4.09E-04
〇-600x9,600,9,131,1.67E-02,2.43E-03,7.30E-04,1.48E-02,2.16E-03,6.45E-04
〇-600x12,600,12,174,2.22E-02,3.19E-03,9.58E-04,2.03E-02,2.92E-03,8.74E-04
〇-600x14,600,14,202,2.58E-02,3.69E-03,1.11E-03,2.39E-02,3.42E-03,1.02E-03
〇-600x16,600,16,230,2.94E-02,4.17E-03,1.25E-03,2.75E-02,3.91E-03,1.17E-03
〇-609.6x9,609.6,9,133,1.70E-02,2.51E-03,7.66E-04,1.51E-02,2.23E-03,6.77E-04
〇-609.6x12,609.6,12,177,2.25E-02,3.30E-03,1.01E-03,2.06E-02,3.02E-03,9.18E-04
〇-609.6x14,609.6,14,206,2.62E-02,3.81E-03,1.16E-03,2.43E-02,3.53E-03,1.07E-03
〇-609.6x16,609.6,16,234,2.98E-02,4.31E-03,1.32E-03,2.79E-02,4.04E-03,1.23E-03
〇-700x9,700,9,153,1.95E-02,3.33E-03,1.17E-03,1.73E-02,2.96E-03,1.03E-03
〇-700x12,700,12,204,2.59E-02,4.39E-03,1.54E-03,2.37E-02,4.01E-03,1.40E-03
〇-700x14,700,14,237,3.02E-02,5.07E-03,1.78E-03,2.80E-02,4.70E-03,1.64E-03
〇-700x16,700,16,270,3.44E-02,5.75E-03,2.01E-03,3.22E-02,5.38E-03,1.88E-03
〇-800x9,800,9,176,2.24E-02,4.37E-03,1.75E-03,1.99E-02,3.88E-03,1.55E-03
〇-800x12,800,12,233,2.97E-02,5.77E-03,2.31E-03,2.72E-02,5.28E-03,2.11E-03
〇-800x14,800,14,271,3.46E-02,6.68E-03,2.67E-03,3.21E-02,6.19E-03,2.47E-03
〇-800x16,800,16,309,3.94E-02,7.57E-03,3.03E-03,3.69E-02,7.09E-03,2.83E-03
〇-800x19,800,19,366,4.66E-02,8.89E-03,3.56E-03,4.41E-02,8.41E-03,3.36E-03
〇-800x22,800,22,422,5.38E-02,1.02E-02,4.07E-03,5.13E-02,9.70E-03,3.87E-03
〇-900x9,900,9,198,2.52E-02,5.56E-03,2.50E-03,2.24E-02,4.93E-03,2.21E-03
〇-900x12,900,12,263,3.35E-02,7.33E-03,3.30E-03,3.07E-02,6.71E-03,3.02E-03
〇-900x14,900,14,306,3.90E-02,8.50E-03,3.82E-03,3.61E-02,7.88E-03,3.54E-03
〇-900x16,900,16,349,4.44E-02,9.65E-03,4.34E-03,4.16E-02,9.03E-03,4.06E-03
〇-900x19,900,19,413,5.26E-02,1.13E-02,5.10E-03,4.98E-02,1.07E-02,4.82E-03
〇-900x22,900,22,476,6.07E-02,1.30E-02,5.85E-03,5.79E-02,1.24E-02,5.57E-03
〇-1000x12,1000,12,292,3.73E-02,9.09E-03,4.55E-03,3.41E-02,8.32E-03,4.15E-03
〇-1000x14,1000,14,340,4.34E-02,1.05E-02,5.27E-03,4.02E-02,9.78E-03,4.88E-03
〇-1000x16,1000,16,388,4.95E-02,1.20E-02,5.99E-03,4.63E-02,1.12E-02,5.60E-03
〇-1000x19,1000,19,460,5.86E-02,1.41E-02,7.05E-03,5.54E-02,1.33E-02,6.66E-03
〇-1000x22,1000,22,531,6.76E-02,1.62E-02,8.09E-03,6.45E-02,1.54E-02,7.69E-03
〇-1000x25,1000,25,601,7.66E-02,1.82E-02,9.11E-03,7.34E-02,1.75E-02,8.71E-03
〇-1100x12,1100,12,322,4.10E-02,1.10E-02,6.07E-03,3.76E-02,1.01E-02,5.55E-03
〇-1100x14,1100,14,375,4.78E-02,1.28E-02,7.04E-03,4.43E-02,1.19E-02,6.52E-03
〇-1100x16,1100,16,428,5.45E-02,1.46E-02,8.01E-03,5.10E-02,1.36E-02,7.48E-03
〇-1100x19,1100,19,506,6.45E-02,1.71E-02,9.43E-03,6.11E-02,1.62E-02,8.91E-03
〇-1100x22,1100,22,585,7.45E-02,1.97E-02,1.08E-02,7.11E-02,1.88E-02,1.03E-02
〇-1100x25,1100,25,663,8.44E-02,2.22E-02,1.22E-02,8.10E-02,2.13E-02,1.17E-02
〇-1200x12,1200,12,352,4.48E-02,1.32E-02,7.90E-03,4.10E-02,1.21E-02,7.23E-03
〇-1200x14,1200,14,409,5.22E-02,1.53E-02,9.17E-03,4.84E-02,1.42E-02,8.50E-03
〇-1200x16,1200,16,467,5.95E-02,1.74E-02,1.04E-02,5.58E-02,1.63E-02,9.75E-03
〇-1200x19,1200,19,553,7.05E-02,2.05E-02,1.23E-02,6.67E-02,1.94E-02,1.16E-02
〇-1200x22,1200,22,639,8.14E-02,2.35E-02,1.41E-02,7.77E-02,2.25E-02,1.35E-02
〇-1200x25,1200,25,724,9.23E-02,2.66E-02,1.59E-02,8.85E-02,2.55E-02,1.53E-02
