key,型番,中間支保工,ρ,t,0.7(S),0.8(S),1.0(S),1.2(S),1.4(S),1.6(S),0.7(RC),0.8(RC),1.0(RC),1.2(RC),1.4(RC),1.6(RC)
JF75ME・JF75MW_24-120,JF75ME・JF75MW,_,24,120,2420,2870,3070,3240,3380,3500,2050,2740,2940,3100,3230,3500
JF75ME・JF75MW_24-130,JF75ME・JF75MW,_,24,130,2420,2820,3020,3190,3330,3450,2050,2700,2890,3050,3180,3300
JF75ME・JF75MW_24-140,JF75ME・JF75MW,_,24,140,2420,2780,2980,3140,3280,3400,2050,2660,2850,3000,3130,3250
JF75ME・JF75MW_24-150,JF75ME・JF75MW,_,24,150,2420,2740,2930,3090,3230,3350,2050,2620,2810,2980,3090,3200
JF75ME・JF75MW_24-160,JF75ME・JF75MW,_,24,160,2370,2700,2890,3050,3180,3300,2000,2580,2770,2920,3050,3160
JF75ME・JF75MW_24-170,JF75ME・JF75MW,_,24,170,2320,2660,2850,3010,3140,3260,1960,2550,2730,2880,3010,3120
JF75ME・JF75MW_24-180,JF75ME・JF75MW,_,24,180,2270,2630,2790,2970,3100,3220,1920,2520,2700,2840,2970,3080
JF75ME・JF75MW_24-190,JF75ME・JF75MW,_,24,190,2220,2600,2730,2940,3070,3180,1880,2490,2660,2810,2930,3040
JF75ME・JF75MW_24-200,JF75ME・JF75MW,_,24,200,2180,2570,2680,2900,3030,3140,1840,2460,2630,2780,2900,3010
JF75ME・JF75MW_24-250,JF75ME・JF75MW,_,24,250,2000,2390,2460,2720,2880,2980,1690,2330,2460,2630,2750,2850
JF75ME・JF75MW_24-300,JF75ME・JF75MW,_,24,300,1860,2220,2290,2530,2740,2850,1570,2220,2290,2520,2630,2730
JF75ME・JF75MW_20-120,JF75ME・JF75MW,_,20,120,2420,2970,3180,3350,3500,3630,2050,2840,3040,3210,3350,3470
JF75ME・JF75MW_20-130,JF75ME・JF75MW,_,20,130,2420,2920,3130,3300,3450,3570,2050,2800,3000,3160,3300,3420
JF75ME・JF75MW_20-140,JF75ME・JF75MW,_,20,140,2420,2880,3090,3260,3400,3520,2050,2760,2960,3110,3250,3370
JF75ME・JF75MW_20-150,JF75ME・JF75MW,_,20,150,2420,2840,3050,3210,3350,3480,2050,2720,2910,3070,3210,3320
JF75ME・JF75MW_20-160,JF75ME・JF75MW,_,20,160,2420,2810,3010,3170,3310,3430,2050,2690,2880,3030,3170,3280
JF75ME・JF75MW_20-170,JF75ME・JF75MW,_,20,170,2420,2770,2970,3130,3270,3390,2050,2650,2840,2990,3130,3240
JF75ME・JF75MW_20-180,JF75ME・JF75MW,_,20,180,2420,2740,2930,3090,3230,3350,2050,2620,2810,2960,3090,3200
JF75ME・JF75MW_20-190,JF75ME・JF75MW,_,20,190,2380,2710,2900,3060,3190,3310,2010,2590,2770,2920,3050,3170
JF75ME・JF75MW_20-200,JF75ME・JF75MW,_,20,200,2330,2680,2870,3020,3160,3270,1970,2560,2740,2890,3020,3130
JF75ME・JF75MW_20-250,JF75ME・JF75MW,_,20,250,2150,2540,2640,2870,3000,3110,1820,2430,2610,2750,2870,2980
JF75ME・JF75MW_20-300,JF75ME・JF75MW,_,20,300,2000,2390,2460,2720,2880,2980,1690,2330,2460,2630,2750,2850
JF75ME・JF75MW中間支保工24-120,JF75ME・JF75MW,中間支保工,24,120,4390,4900,4900,4900,,,4100,4900,4900,4900,,
JF75ME・JF75MW中間支保工24-130,JF75ME・JF75MW,中間支保工,24,130,4160,4900,4900,4900,,,4100,4900,4900,4900,,
JF75ME・JF75MW中間支保工24-140,JF75ME・JF75MW,中間支保工,24,140,3960,4900,4900,4900,,,3960,4900,4900,4900,,
JF75ME・JF75MW中間支保工24-150,JF75ME・JF75MW,中間支保工,24,150,3780,4900,4900,4900,,,3780,4900,4900,4900,,
JF75ME・JF75MW中間支保工24-160,JF75ME・JF75MW,中間支保工,24,160,3610,4900,4900,4900,,,3610,4900,4900,4900,,
JF75ME・JF75MW中間支保工24-170,JF75ME・JF75MW,中間支保工,24,170,3460,4900,4900,4900,,,3460,4900,4900,4900,,
JF75ME・JF75MW中間支保工24-180,JF75ME・JF75MW,中間支保工,24,180,3320,4900,4900,4900,,,3320,4900,4900,4900,,
JF75ME・JF75MW中間支保工24-190,JF75ME・JF75MW,中間支保工,24,190,3190,4770,4900,4900,,,3190,4770,4900,4900,,
JF75ME・JF75MW中間支保工24-200,JF75ME・JF75MW,中間支保工,24,200,3070,4590,4900,4900,,,3070,4590,4900,4900,,
JF75ME・JF75MW中間支保工24-250,JF75ME・JF75MW,中間支保工,24,250,2580,3870,4900,4900,,,2580,3870,4900,4900,,
JF75ME・JF75MW中間支保工24-300,JF75ME・JF75MW,中間支保工,24,300,2230,3340,4580,4900,,,2230,3340,4580,4900,,
JF75ME・JF75MW中間支保工20-120,JF75ME・JF75MW,中間支保工,20,120,4840,4900,4900,4900,,,4100,4900,4900,4900,,
JF75ME・JF75MW中間支保工20-130,JF75ME・JF75MW,中間支保工,20,130,4680,4900,4900,4900,,,4100,4900,4900,4900,,
JF75ME・JF75MW中間支保工20-140,JF75ME・JF75MW,中間支保工,20,140,4470,4900,4900,4900,,,4100,4900,4900,4900,,
JF75ME・JF75MW中間支保工20-150,JF75ME・JF75MW,中間支保工,20,150,4270,4900,4900,4900,,,4100,4900,4900,4900,,
JF75ME・JF75MW中間支保工20-160,JF75ME・JF75MW,中間支保工,20,160,4090,4900,4900,4900,,,4090,4900,4900,4900,,
JF75ME・JF75MW中間支保工20-170,JF75ME・JF75MW,中間支保工,20,170,3930,4900,4900,4900,,,3930,4900,4900,4900,,
JF75ME・JF75MW中間支保工20-180,JF75ME・JF75MW,中間支保工,20,180,3780,4900,4900,4900,,,3780,4900,4900,4900,,
JF75ME・JF75MW中間支保工20-190,JF75ME・JF75MW,中間支保工,20,190,3640,4900,4900,4900,,,3640,4900,4900,4900,,
JF75ME・JF75MW中間支保工20-200,JF75ME・JF75MW,中間支保工,20,200,3510,4900,4900,4900,,,3510,4900,4900,4900,,
JF75ME・JF75MW中間支保工20-250,JF75ME・JF75MW,中間支保工,20,250,2970,4450,4900,4900,,,2970,4450,4900,4900,,
JF75ME・JF75MW中間支保工20-300,JF75ME・JF75MW,中間支保工,20,300,2580,3870,4900,4900,,,2580,3870,4900,4900,,
JF100M_24-120,JF100M,_,24,120,3360,3740,3990,4310,4500,4670,3290,3580,3820,4020,4190,4350
JF100M_24-125,JF100M,_,24,125,3360,3710,3960,4270,4460,4630,3290,3550,3790,3980,4160,4310
JF100M_24-130,JF100M,_,24,130,3360,3680,3930,4240,4430,4590,3290,3520,3760,3950,4130,4280
JF100M_24-135,JF100M,_,24,135,3360,3650,3900,4210,4390,4560,3290,3490,3730,3920,4100,4250
JF100M_24-140,JF100M,_,24,140,3360,3630,3870,4180,4360,4520,3290,3470,3700,3890,4070,4220
JF100M_24-145,JF100M,_,24,145,3360,3600,3840,4150,4330,4490,3290,3440,3670,3860,4040,4190
JF100M_24-150,JF100M,_,24,150,3360,3570,3810,4120,4300,4460,3290,3420,3650,3840,4010,4160
JF100M_24-155,JF100M,_,24,155,3330,3550,3790,4090,4270,4430,3260,3390,3620,3810,3980,4130
JF100M_24-160,JF100M,_,24,160,3310,3520,3760,4060,4240,4400,3240,3370,3600,3780,3950,4100
JF100M_24-165,JF100M,_,24,165,3290,3500,3730,4030,4210,4370,3220,3350,3570,3760,3930,4070
JF100M_24-170,JF100M,_,24,170,3270,3480,3710,4000,4180,4340,3200,3320,3550,3730,3900,4050
JF100M_24-175,JF100M,_,24,175,3250,3450,3690,3980,4160,4310,3180,3300,3520,3710,3870,4020
JF100M_24-180,JF100M,_,24,180,3230,3430,3660,3950,4130,4290,3160,3280,3500,3690,3850,3990
JF100M_24-185,JF100M,_,24,185,3210,3410,3640,3930,4110,4260,3140,3260,3480,3660,3830,3970
JF100M_24-190,JF100M,_,24,190,3190,3390,3620,3910,4080,4230,3120,3240,3460,3640,3800,3950
JF100M_24-195,JF100M,_,24,195,3170,3370,3600,3880,4060,4210,3100,3220,3440,3620,3780,3920
JF100M_24-200,JF100M,_,24,200,3150,3350,3580,3860,4030,4180,3080,3200,3420,3600,3760,3900
JF100M_24-250,JF100M,_,24,250,2980,3180,3380,3660,3820,3970,2920,3040,3240,3410,3570,3700
JF100M_24-300,JF100M,_,24,300,2820,3010,3140,3440,3650,3790,2790,2900,3100,3260,3410,3540
JF100M中間支保工24-120,JF100M,中間支保工,24,120,4370,4900,4900,4900,4900,4900,4370,4900,4900,4900,4900,4900
JF100M中間支保工24-125,JF100M,中間支保工,24,125,4250,4900,4900,4900,4900,4900,4250,4900,4900,4900,4900,4900
JF100M中間支保工24-130,JF100M,中間支保工,24,130,4140,4900,4900,4900,4900,4900,4140,4900,4900,4900,4900,4900
JF100M中間支保工24-135,JF100M,中間支保工,24,135,4040,4900,4900,4900,4900,4900,4040,4900,4900,4900,4900,4900
JF100M中間支保工24-140,JF100M,中間支保工,24,140,3940,4900,4900,4900,4900,4900,3940,4900,4900,4900,4900,4900
JF100M中間支保工24-145,JF100M,中間支保工,24,145,3850,4900,4900,4900,4900,4900,3850,4900,4900,4900,4900,4900
JF100M中間支保工24-150,JF100M,中間支保工,24,150,3760,4900,4900,4900,4900,4900,3760,4900,4900,4900,4900,4900
JF100M中間支保工24-155,JF100M,中間支保工,24,155,3680,4900,4900,4900,4900,4900,3680,4900,4900,4900,4900,4900
JF100M中間支保工24-160,JF100M,中間支保工,24,160,3600,4900,4900,4900,4900,4900,3600,4900,4900,4900,4900,4900
JF100M中間支保工24-165,JF100M,中間支保工,24,165,3520,4900,4900,4900,4900,4900,3520,4900,4900,4900,4900,4900
JF100M中間支保工24-170,JF100M,中間支保工,24,170,3440,4900,4900,4900,4900,4900,3440,4900,4900,4900,4900,4900
JF100M中間支保工24-175,JF100M,中間支保工,24,175,3370,4900,4900,4900,4900,4900,3370,4900,4900,4900,4900,4900
JF100M中間支保工24-180,JF100M,中間支保工,24,180,3300,4900,4900,4900,4900,4900,3300,4900,4900,4900,4900,4900
JF100M中間支保工24-185,JF100M,中間支保工,24,185,3240,4850,4900,4900,4900,4900,3240,4850,4900,4900,4900,4900
JF100M中間支保工24-190,JF100M,中間支保工,24,190,3180,4750,4900,4900,4900,4900,3180,4750,4900,4900,4900,4900
JF100M中間支保工24-195,JF100M,中間支保工,24,195,3110,4660,4900,4900,4900,4900,3110,4660,4900,4900,4900,4900
JF100M中間支保工24-200,JF100M,中間支保工,24,200,3060,4570,4900,4900,4900,4900,3060,4570,4900,4900,4900,4900
JF100M中間支保工24-250,JF100M,中間支保工,24,250,2570,3850,4900,4900,4900,4900,2570,3850,4900,4900,4900,4900
JF100M中間支保工24-300,JF100M,中間支保工,24,300,2220,3330,4900,4900,4900,4900,2220,3330,4900,4900,4900,4900
JF100M中間支保工20-120,JF100M,中間支保工,20,120,4890,4900,4900,4900,4900,4900,4890,4900,4900,4900,4900,4900
JF100M中間支保工20-125,JF100M,中間支保工,20,125,4770,4900,4900,4900,4900,4900,4770,4900,4900,4900,4900,4900
JF100M中間支保工20-130,JF100M,中間支保工,20,130,4660,4900,4900,4900,4900,4900,4660,4900,4900,4900,4900,4900
JF100M中間支保工20-135,JF100M,中間支保工,20,135,4550,4900,4900,4900,4900,4900,4550,4900,4900,4900,4900,4900
JF100M中間支保工20-140,JF100M,中間支保工,20,140,4450,4900,4900,4900,4900,4900,4450,4900,4900,4900,4900,4900
JF100M中間支保工20-145,JF100M,中間支保工,20,145,4350,4900,4900,4900,4900,4900,4350,4900,4900,4900,4900,4900
JF100M中間支保工20-150,JF100M,中間支保工,20,150,4250,4900,4900,4900,4900,4900,4250,4900,4900,4900,4900,4900
JF100M中間支保工20-155,JF100M,中間支保工,20,155,4160,4900,4900,4900,4900,4900,4160,4900,4900,4900,4900,4900
JF100M中間支保工20-160,JF100M,中間支保工,20,160,4080,4900,4900,4900,4900,4900,4080,4900,4900,4900,4900,4900
JF100M中間支保工20-165,JF100M,中間支保工,20,165,3990,4900,4900,4900,4900,4900,3990,4900,4900,4900,4900,4900
JF100M中間支保工20-170,JF100M,中間支保工,20,170,3910,4900,4900,4900,4900,4900,3910,4900,4900,4900,4900,4900
JF100M中間支保工20-175,JF100M,中間支保工,20,175,3840,4900,4900,4900,4900,4900,3840,4900,4900,4900,4900,4900
JF100M中間支保工20-180,JF100M,中間支保工,20,180,3760,4900,4900,4900,4900,4900,3760,4900,4900,4900,4900,4900
JF100M中間支保工20-185,JF100M,中間支保工,20,185,3690,4900,4900,4900,4900,4900,3690,4900,4900,4900,4900,4900
JF100M中間支保工20-190,JF100M,中間支保工,20,190,3620,4900,4900,4900,4900,4900,3620,4900,4900,4900,4900,4900
JF100M中間支保工20-195,JF100M,中間支保工,20,195,3560,4900,4900,4900,4900,4900,3560,4900,4900,4900,4900,4900
JF100M中間支保工20-200,JF100M,中間支保工,20,200,3490,4900,4900,4900,4900,4900,3490,4900,4900,4900,4900,4900
JF100M中間支保工20-250,JF100M,中間支保工,20,250,2960,4440,4900,4900,4900,4900,2960,4440,4900,4900,4900,4900
JF100M中間支保工20-300,JF100M,中間支保工,20,300,2570,3850,4900,4900,4900,4900,2570,3850,4900,4900,4900,4900
